protein,length,pLDDT,pTM,plddt_class,id
group_3504,62,48.6,0.28,Very low,NA
group_3468,63,84.7,0.749,Confident,NA
group_3506,63,74.6,0.592,Confident,NA
group_3568,63,79.6,0.523,Confident,NA
group_3570,63,79,0.515,Confident,NA
group_12004,63,81.9,0.731,Confident,NA
group_4004,63,77.8,0.733,Confident,NA
group_8512,63,78.3,0.713,Confident,NA
group_20043,63,46.9,0.231,Very low,NA
group_3173,64,66.1,0.642,Low,NA
group_3368,64,74.6,0.627,Confident,NA
group_19959,64,48.1,0.115,Very low,NA
group_20040,64,63.4,0.473,Low,NA
group_4296,64,43.6,0.286,Very low,NA
group_4435,64,77.1,0.636,Confident,NA
group_8533,65,57.6,0.338,Low,NA
group_9197,65,71.2,0.7,Confident,NA
group_3523,65,55.5,0.273,Low,NA
group_3526,65,50.2,0.262,Low,NA
group_4349,65,82.1,0.786,Confident,NA
group_3243,66,43,0.213,Very low,NA
group_19812,66,76.2,0.683,Confident,NA
group_17029,66,72.4,0.633,Confident,NA
group_3678,66,70.5,0.581,Confident,NA
group_19964,66,59,0.427,Low,NA
group_8434,66,48.2,0.279,Very low,NA
group_8454,66,68.9,0.353,Low,NA
group_8484,66,75.5,0.539,Confident,NA
group_3364,67,76.7,0.678,Confident,NA
rop~~~rop_1,67,77.1,0.654,Confident,NA
group_8441,67,53.3,0.484,Low,NA
group_14814,67,79.2,0.73,Confident,NA
group_13250,67,79.6,0.698,Confident,NA
group_20004,67,38.5,0.168,Very low,NA
group_4552,67,83.6,0.772,Confident,NA
group_3149,68,86.1,0.742,Confident,NA
group_3495,68,58.4,0.362,Low,NA
group_3503,68,48.1,0.246,Very low,NA
ydfB~~~ydfB_1~~~ydfB_2,68,54.9,0.418,Low,NA
group_3639,68,50.1,0.293,Low,NA
alpA~~~alpA_1,68,82.7,0.765,Confident,NA
group_9882,68,71,0.606,Confident,NA
group_11305,68,78.9,0.672,Confident,NA
group_3914,68,66.5,0.495,Low,NA
group_4104,68,61.6,0.317,Low,NA
group_4258,68,40,0.144,Very low,NA
alpA_2~~~alpA,68,84.5,0.781,Confident,NA
group_4305,68,71.4,0.626,Confident,NA
group_19780,69,49.8,0.336,Very low,NA
group_10480,69,62.2,0.481,Low,NA
group_11165,69,69.8,0.556,Low,NA
group_3542,69,77.8,0.491,Confident,NA
group_3728,69,75.8,0.674,Confident,NA
group_9097,69,71.2,0.661,Confident,NA
group_20032,69,69.3,0.599,Low,NA
group_3245,70,43.8,0.235,Very low,NA
group_3287,70,82.7,0.794,Confident,NA
hokD~~~mokC~~~mokC_1,70,64.9,0.336,Low,NA
group_3835,70,68.9,0.672,Low,NA
hokD~~~hokD_1~~~mokC_2~~~mokC_1,70,68.9,0.366,Low,NA
mokC_1~~~mokC_2~~~mokC_3~~~mokC~~~hokD_1,70,64.7,0.332,Low,NA
mokC_2,70,64,0.317,Low,NA
hokD_2,70,64.5,0.327,Low,NA
group_20025,70,81.4,0.795,Confident,NA
ogrK_1~~~ogrK,71,76.7,0.574,Confident,NA
group_3331,71,79.1,0.749,Confident,NA
group_19823,71,73.1,0.693,Confident,NA
group_3714,71,71.4,0.648,Confident,NA
group_3771,71,76.3,0.727,Confident,NA
group_3985,71,76.6,0.734,Confident,NA
group_3997,71,74.8,0.575,Confident,NA
group_4028,71,44.7,0.3,Very low,NA
group_8432,71,49.3,0.36,Very low,NA
group_8433,71,46.9,0.33,Very low,NA
group_4153,71,81.1,0.678,Confident,NA
group_4265,71,74,0.619,Confident,NA
group_3354,72,82.1,0.755,Confident,NA
group_3404,72,75.2,0.693,Confident,NA
group_3409,72,66.9,0.585,Low,NA
group_8486,72,50.3,0.429,Low,NA
group_4029,72,61.5,0.43,Low,NA
group_4169,72,82.2,0.754,Confident,NA
group_14321,72,81.3,0.738,Confident,NA
group_19783,73,69.3,0.515,Low,NA
group_3348,73,75.6,0.721,Confident,NA
kilR~~~kilR_1,73,50.2,0.433,Low,NA
group_8341,73,47,0.291,Very low,NA
group_4499,73,55.3,0.397,Low,NA
group_4537,73,62.1,0.53,Low,NA
group_4538,73,53.3,0.331,Low,NA
group_3302,74,73.6,0.626,Confident,NA
group_3355,74,60.6,0.486,Low,NA
group_3799,74,78.2,0.746,Confident,NA
group_19996,74,44.3,0.278,Very low,NA
group_3297,75,74.6,0.703,Confident,NA
group_3301,75,78.4,0.687,Confident,NA
group_3677,75,82.9,0.747,Confident,NA
group_3679,75,73.7,0.619,Confident,NA
group_11475,75,83.5,0.806,Confident,NA
group_19958,75,79,0.762,Confident,NA
dicC~~~dicC_2,75,80.5,0.73,Confident,NA
group_8480,75,79.4,0.782,Confident,NA
group_4250,75,49.7,0.198,Very low,NA
group_4313,75,85.1,0.8,Confident,NA
group_19845,76,75.3,0.627,Confident,NA
group_3659,76,38.2,0.195,Very low,NA
group_8462,76,39.4,0.219,Very low,NA
ykfF_2~~~ykfF,76,45.8,0.351,Very low,NA
group_4221,76,64.8,0.512,Low,NA
group_20093,76,77.8,0.701,Confident,NA
group_19796,77,40.4,0.152,Very low,NA
group_8294,77,76.8,0.704,Confident,NA
group_3291,77,55,0.463,Low,NA
group_11974,77,45.6,0.161,Very low,NA
group_3936,77,70.1,0.641,Confident,NA
group_19995,77,84.1,0.83,Confident,NA
group_10587,77,35.1,0.174,Very low,NA
group_12808,77,73,0.547,Confident,NA
group_3167,78,33.2,0.135,Very low,NA
group_3214,78,45.8,0.154,Very low,NA
group_3423,78,65.7,0.5,Low,NA
group_3706,78,54.6,0.345,Low,NA
group_3253,79,65.7,0.649,Low,NA
group_19822,79,54.4,0.433,Low,NA
group_13317,79,67.5,0.68,Low,NA
ykfF_2~~~ykfF_1,79,77.4,0.752,Confident,NA
group_4376,79,61.5,0.587,Low,NA
group_4488,79,65.5,0.532,Low,NA
group_3155,80,49.8,0.372,Very low,NA
group_3188,80,42.2,0.238,Very low,NA
group_3351,80,78.7,0.689,Confident,NA
group_3373,80,76.2,0.491,Confident,NA
group_3489,80,74.8,0.735,Confident,NA
group_3952,80,54.9,0.25,Low,NA
group_8315,80,76.1,0.566,Confident,NA
group_4037,80,49,0.253,Very low,NA
group_4129,80,81.9,0.755,Confident,NA
group_16888,80,70.7,0.595,Confident,NA
group_4358,80,63,0.568,Low,NA
grxA_2,81,89.3,0.877,Confident,NA
group_19830,81,34.9,0.164,Very low,NA
group_3546,81,48.9,0.233,Very low,NA
group_3762,81,69.5,0.507,Low,NA
group_3836,81,68,0.481,Low,NA
group_3855,81,32.9,0.176,Very low,NA
group_11472,81,83.4,0.741,Confident,NA
group_8472,82,83.2,0.806,Confident,NA
group_11553,82,39.9,0.216,Very low,NA
group_4072,82,67.1,0.67,Low,NA
group_8487,82,37.5,0.282,Very low,NA
group_3509,83,80,0.595,Confident,NA
group_4008,83,44.8,0.325,Very low,NA
group_4146,83,29.6,0.134,Very low,NA
group_8488,83,48.7,0.443,Very low,NA
group_4338,83,84.6,0.825,Confident,NA
group_4409,83,81.4,0.623,Confident,NA
group_14555,84,40.1,0.237,Very low,NA
group_3575,84,32.3,0.161,Very low,NA
group_19903,84,76.3,0.545,Confident,NA
group_3903,84,73.8,0.585,Confident,NA
group_3937,84,55.1,0.421,Low,NA
group_19953,84,55.7,0.226,Low,NA
group_4133,84,48.4,0.284,Very low,NA
group_8485,84,70.8,0.623,Confident,NA
group_4209,84,56,0.32,Low,NA
group_17259,84,76.5,0.526,Confident,NA
imm_2~~~cim,85,71.7,0.7,Confident,NA
flmC~~~flmC_2,85,34,0.188,Very low,NA
group_3454,85,72.8,0.585,Confident,NA
group_12844,85,74.3,0.629,Confident,NA
group_3811,85,76.9,0.488,Confident,NA
chpS_1~~~chpS,85,78.4,0.443,Confident,NA
group_19968,85,47.8,0.318,Very low,NA
group_9857,85,75,0.52,Confident,NA
group_20028,85,80.4,0.709,Confident,NA
group_9902,85,44.1,0.308,Very low,NA
group_4460,85,67.1,0.5,Low,NA
dinI_1~~~dinI_2,86,80.2,0.78,Confident,NA
group_19864,86,50.3,0.402,Low,NA
group_3680,86,68.1,0.494,Low,NA
group_3820,86,28.4,0.128,Very low,NA
group_3837,86,82.1,0.528,Confident,NA
group_4038,86,68.4,0.512,Low,NA
group_4233,86,30.7,0.144,Very low,NA
group_19854,87,47.5,0.311,Very low,NA
group_15177,87,86.5,0.83,Confident,NA
essD_2~~~essD~~~essQ,87,58.8,0.336,Low,NA
group_9777,87,60.4,0.488,Low,NA
group_3754,87,42.1,0.286,Very low,NA
group_12721,87,75.6,0.669,Confident,NA
group_4364,87,30.3,0.121,Very low,NA
group_4371,87,56.4,0.271,Low,NA
group_11470,87,72.7,0.643,Confident,NA
group_4550,87,88.7,0.86,Confident,NA
group_3241,88,71.8,0.605,Confident,NA
group_3313,88,35.9,0.19,Very low,NA
group_3336,88,70.3,0.442,Confident,NA
group_3453,88,67.3,0.554,Low,NA
group_19867,88,77.7,0.477,Confident,NA
group_12824,88,78.4,0.738,Confident,NA
group_3676,88,78.2,0.677,Confident,NA
group_14324,88,51.8,0.379,Low,NA
group_3800,88,44.8,0.401,Very low,NA
group_4203,88,61.8,0.409,Low,NA
group_16388,89,40.7,0.27,Very low,NA
group_9910,89,78.7,0.529,Confident,NA
group_4101,89,79.8,0.751,Confident,NA
group_4162,89,82.4,0.699,Confident,NA
group_4285,89,83.6,0.691,Confident,NA
group_4383,89,81.1,0.471,Confident,NA
group_3227,90,73.6,0.613,Confident,NA
group_19861,90,30.2,0.132,Very low,NA
group_3480,90,80.6,0.63,Confident,NA
group_3624,90,62.2,0.456,Low,NA
group_3713,90,86.3,0.874,Confident,NA
group_3716,90,48.9,0.371,Very low,NA
group_8453,90,35,0.184,Very low,NA
group_3768,90,76.9,0.739,Confident,NA
group_4175,90,61.9,0.296,Low,NA
group_4254,90,60.2,0.4,Low,NA
group_4298,90,40.3,0.163,Very low,NA
yddM_2~~~yddM_1,90,86.6,0.815,Confident,NA
group_20102,90,82.6,0.798,Confident,NA
group_3340,91,55.4,0.402,Low,NA
group_18306,91,82,0.727,Confident,NA
group_4230,91,33.4,0.187,Very low,NA
insA7~~~insA6_1,91,71.6,0.419,Confident,NA
group_4447,91,84.3,0.705,Confident,NA
group_3184,92,54.1,0.419,Low,NA
group_19839,92,82.6,0.815,Confident,NA
group_3671,92,54.5,0.455,Low,NA
group_19910,92,75.6,0.543,Confident,NA
group_14149,92,74,0.744,Confident,NA
group_8526,92,39.5,0.219,Very low,NA
group_3957,92,75.9,0.772,Confident,NA
group_4000,92,78.5,0.696,Confident,NA
group_19999,92,74.6,0.506,Confident,NA
group_20000,92,79.1,0.781,Confident,NA
group_4025,92,72.4,0.716,Confident,NA
group_4033,92,42.5,0.287,Very low,NA
group_8477,92,37.7,0.311,Very low,NA
group_4385,92,80.1,0.494,Confident,NA
group_4411,92,28.1,0.119,Very low,NA
group_20097,92,66.8,0.507,Low,NA
group_4466,92,78.7,0.479,Confident,NA
group_3219,93,61.3,0.502,Low,NA
group_19804,93,68,0.543,Low,NA
group_14553,93,41.1,0.3,Very low,NA
group_19922,93,38.9,0.126,Very low,NA
group_3758,93,62,0.542,Low,NA
group_3918,93,83.7,0.817,Confident,NA
group_14152,93,36.9,0.234,Very low,NA
group_19708,93,81.2,0.643,Confident,NA
group_4549,93,66.3,0.596,Low,NA
group_3347,94,64.2,0.493,Low,NA
group_11715,94,74.7,0.733,Confident,NA
group_3500,94,83.5,0.831,Confident,NA
group_3551,94,77.6,0.756,Confident,NA
group_10572,94,74.6,0.747,Confident,NA
group_4471,94,82.2,0.585,Confident,NA
ykgN_2~~~ykgN,94,76.8,0.448,Confident,NA
group_3226,95,71.5,0.623,Confident,NA
rop,95,28.1,0.118,Very low,NA
group_19875,95,80.2,0.518,Confident,NA
group_3591,95,76,0.54,Confident,NA
rem_2~~~rem_1~~~rem,95,35.1,0.197,Very low,NA
group_3980,95,77.6,0.708,Confident,NA
group_9289,95,79.9,0.517,Confident,NA
relE_3~~~relE_2,95,82.3,0.793,Confident,NA
group_3224,96,72.3,0.47,Confident,NA
group_19827,96,60,0.277,Low,NA
group_8524,96,39.3,0.214,Very low,NA
group_3881,96,57.4,0.274,Low,NA
group_3967,96,81.6,0.829,Confident,NA
group_4040,96,89.9,0.876,Confident,NA
group_4043,96,68.6,0.611,Low,NA
traQ_2~~~traQ,96,67,0.491,Low,NA
group_17706,96,78.7,0.749,Confident,NA
valS_1~~~valS_2,97,70.3,0.6,Confident,NA
symE_2~~~symE_1~~~symE_3,97,71,0.447,Confident,NA
cas2,97,80.5,0.786,Confident,NA
group_3704,97,43.2,0.335,Very low,NA
group_8445,97,39.2,0.272,Very low,NA
group_3930,97,74.7,0.733,Confident,NA
group_20020,97,35.6,0.196,Very low,NA
group_4396,97,73.2,0.43,Confident,NA
insA6_2~~~insA6_1~~~insA6,97,68.5,0.4,Low,NA
group_4483,97,55.8,0.362,Low,NA
group_3264,98,79.5,0.694,Confident,NA
group_3619,98,51.3,0.369,Low,NA
group_14552,98,47.9,0.313,Very low,NA
group_9131,98,77.8,0.723,Confident,NA
group_3933,98,46.3,0.304,Very low,NA
group_3942,98,44.4,0.308,Very low,NA
group_4322,98,51.3,0.36,Low,NA
group_4517,98,72.9,0.666,Confident,NA
group_19770,99,78.3,0.619,Confident,NA
group_3198,99,77.8,0.81,Confident,NA
group_3443,99,79,0.788,Confident,NA
group_19897,99,51.7,0.377,Low,NA
group_3763,99,64.8,0.499,Low,NA
group_3898,99,75.2,0.787,Confident,NA
group_17371,99,75.3,0.733,Confident,NA
group_4006,99,71.2,0.644,Confident,NA
group_4075,99,84.4,0.877,Confident,NA
group_4132,99,44.4,0.184,Very low,NA
group_11957,99,59.4,0.441,Low,NA
group_8490,99,35.7,0.24,Very low,NA
group_3339,100,62,0.506,Low,NA
group_11462,100,61.3,0.444,Low,NA
group_16542,100,80.9,0.776,Confident,NA
group_3860,100,83.8,0.816,Confident,NA
group_15857,100,85.6,0.844,Confident,NA
group_9218,100,58.6,0.289,Low,NA
group_9851,100,63.3,0.493,Low,NA
group_4244,100,60.2,0.353,Low,NA
group_3162,101,41.9,0.236,Very low,NA
group_3163,101,46.9,0.27,Very low,NA
group_3310,101,62.7,0.549,Low,NA
group_3333,101,71.9,0.655,Confident,NA
ccdB_1~~~ccdB_2,101,83.9,0.859,Confident,NA
group_3490,101,75.2,0.567,Confident,NA
group_3700,101,43,0.272,Very low,NA
group_19729,101,41.2,0.244,Very low,NA
group_3884,101,81.5,0.831,Confident,NA
group_4080,101,50.6,0.419,Low,NA
insD6,101,35.7,0.194,Very low,NA
group_20101,101,51.9,0.361,Low,NA
group_3330,102,73.6,0.732,Confident,NA
group_3372,102,58.6,0.511,Low,NA
group_19820,102,52.2,0.452,Low,NA
group_3444,102,68.3,0.445,Low,NA
group_3590,102,57.5,0.426,Low,NA
group_4069,102,81.9,0.684,Confident,NA
group_12809,102,68.2,0.611,Low,NA
group_3205,103,56.9,0.419,Low,NA
group_3246,103,38.3,0.234,Very low,NA
group_19924,103,47.9,0.241,Very low,NA
group_4030,103,81.4,0.81,Confident,NA
group_4073,103,80.7,0.804,Confident,NA
group_4088,103,72.9,0.648,Confident,NA
group_4281,103,41,0.277,Very low,NA
group_4365,103,78.5,0.708,Confident,NA
group_11471,103,43.8,0.306,Very low,NA
group_12719,104,79,0.712,Confident,NA
group_3452,104,76.8,0.526,Confident,NA
group_3729,104,66.3,0.505,Low,NA
group_3749,104,51.7,0.361,Low,NA
group_3764,104,66.7,0.521,Low,NA
group_19963,104,42.5,0.342,Very low,NA
group_4002,104,62.9,0.479,Low,NA
group_4015,104,39.6,0.234,Very low,NA
group_4167,104,72.4,0.491,Confident,NA
group_20068,104,73.5,0.499,Confident,NA
group_4386,104,59.8,0.616,Low,NA
group_3647,105,63.1,0.528,Low,NA
group_3946,105,79.5,0.774,Confident,NA
group_19984,105,56.3,0.361,Low,NA
group_13314,105,77.2,0.71,Confident,NA
group_4052,105,84,0.706,Confident,NA
group_12829,105,59.3,0.432,Low,NA
group_13242,106,57,0.33,Low,NA
group_3270,106,49.2,0.394,Very low,NA
group_16200,106,75.5,0.592,Confident,NA
group_19983,106,42.4,0.412,Very low,NA
group_4071,106,76.9,0.485,Confident,NA
group_4247,106,72.6,0.415,Confident,NA
insN1,106,72.5,0.489,Confident,NA
ydaS,107,70.6,0.618,Confident,NA
racC~~~racC_2,107,68.8,0.638,Low,NA
group_3395,107,71.1,0.558,Confident,NA
group_3417,107,68.1,0.275,Low,NA
group_9977,107,85.4,0.875,Confident,NA
group_3829,107,52.3,0.227,Low,NA
group_3984,107,38.5,0.134,Very low,NA
group_8489,107,56.2,0.546,Low,NA
group_3578,108,47.4,0.199,Very low,NA
group_4085,108,59.1,0.347,Low,NA
group_10552,108,68.9,0.621,Low,NA
group_4116,108,65.9,0.614,Low,NA
group_19813,109,83.8,0.872,Confident,NA
group_3456,109,58.4,0.466,Low,NA
group_9890,109,78.7,0.767,Confident,NA
group_3915,109,79.8,0.626,Confident,NA
group_10507,109,81.8,0.82,Confident,NA
insC6~~~insC6_2,109,76.6,0.411,Confident,NA
group_9862,109,82.9,0.794,Confident,NA
group_16754,110,68.1,0.536,Low,NA
group_3830,110,76.5,0.754,Confident,NA
group_8464,110,76.6,0.77,Confident,NA
group_8513,110,46.9,0.354,Very low,NA
group_4269,110,47.6,0.488,Very low,NA
pemK~~~chpB,110,85.5,0.886,Confident,NA
group_19772,111,28.8,0.171,Very low,NA
iraM,111,34,0.199,Very low,NA
yjdM,111,76.7,0.56,Confident,NA
group_3913,112,78.8,0.723,Confident,NA
group_4304,112,71.9,0.445,Confident,NA
group_4465,112,74.9,0.663,Confident,NA
group_3410,113,68.8,0.38,Low,NA
group_3776,113,74.2,0.74,Confident,NA
group_9079,113,78.1,0.764,Confident,NA
yfjZ,113,41.5,0.301,Very low,NA
ypjF~~~ykfI~~~ykfI_1,113,57.8,0.494,Low,NA
group_9855,113,86.3,0.866,Confident,NA
group_4560,113,39.1,0.264,Very low,NA
group_19491,114,69.4,0.528,Low,NA
group_9080,114,74.2,0.694,Confident,NA
group_19695,114,59.9,0.523,Low,NA
group_3574,114,56.4,0.519,Low,NA
group_19939,114,63.7,0.459,Low,NA
insN1_1~~~insN1~~~insN1_3~~~insN2_1~~~insN2,114,71.5,0.436,Confident,NA
group_3272,115,84.5,0.815,Confident,NA
group_3371,115,86.6,0.713,Confident,NA
group_14184,115,67.2,0.627,Low,NA
mbeC_3~~~mbeC_2~~~mbeC_1,115,64.9,0.353,Low,NA
borD_2~~~borD,115,38.5,0.249,Very low,NA
ygiW_2~~~ygiW_3,115,71.2,0.662,Confident,NA
group_4130,115,79.3,0.808,Confident,NA
dinI_3~~~dinI_1~~~dinI_2,115,40.5,0.345,Very low,NA
group_4279,115,45.7,0.316,Very low,NA
group_4434,115,72.5,0.733,Confident,NA
symE_1~~~symE_3,116,67.2,0.429,Low,NA
group_3584,116,74.7,0.752,Confident,NA
group_14330,116,58.9,0.603,Low,NA
group_3637,116,45.4,0.331,Very low,NA
group_19947,116,70.2,0.611,Confident,NA
group_4173,116,75.7,0.606,Confident,NA
insN1_4~~~insN1~~~insN1_2,116,68.7,0.423,Low,NA
relB_2~~~relB,116,53.7,0.358,Low,NA
group_19950,117,65.6,0.691,Low,NA
group_3981,117,85.5,0.802,Confident,NA
group_8431,117,78,0.74,Confident,NA
group_12828,117,63.7,0.515,Low,NA
group_4131,117,72.4,0.74,Confident,NA
hha_2~~~hha_4~~~hha_1,117,51.3,0.428,Low,NA
group_20117,117,42.2,0.38,Very low,NA
group_3788,118,26.9,0.139,Very low,NA
group_3899,118,81.7,0.845,Confident,NA
group_20027,118,73.4,0.763,Confident,NA
group_4525,118,81.5,0.802,Confident,NA
group_19795,119,30.3,0.158,Very low,NA
group_10504,119,86.1,0.579,Confident,NA
group_19935,119,38.1,0.246,Very low,NA
group_12841,119,64.4,0.55,Low,NA
quuD_2~~~quuD~~~quuD_1,120,67.3,0.68,Low,NA
arsD_2~~~arsD_1~~~arsD,120,69.9,0.7,Low,NA
rusA_2~~~rusA_1~~~rusA_3~~~rusA~~~rusA_4~~~rusA_6,120,85.9,0.867,Confident,NA
group_19887,120,54.8,0.498,Low,NA
soxS_1~~~soxS_2,120,80.6,0.789,Confident,NA
group_3531,121,42.2,0.346,Very low,NA
group_3890,121,41,0.385,Very low,NA
group_3932,121,45.5,0.281,Very low,NA
group_18470,121,73.6,0.701,Confident,NA
group_8461,121,41.4,0.325,Very low,NA
group_20018,121,53,0.392,Low,NA
group_3192,122,30,0.18,Very low,NA
group_3228,122,49.7,0.334,Very low,NA
group_11539,122,69.9,0.496,Low,NA
group_19492,122,57.8,0.266,Low,NA
rusA~~~rusA_1~~~rusA_2~~~rusA_3~~~rusA_5~~~rusA_4,122,74.7,0.771,Confident,NA
group_14083,122,40.7,0.316,Very low,NA
insN2~~~insN1,122,67.3,0.407,Low,NA
group_13009,122,79.9,0.556,Confident,NA
group_4140,122,33.2,0.287,Very low,NA
insN2~~~insN1~~~insN1_1~~~insN1_3,122,66.3,0.402,Low,NA
insC6_1~~~insC6_2~~~insC6,123,72.8,0.406,Confident,NA
group_3529,123,76.1,0.736,Confident,NA
group_3644,123,70.8,0.458,Confident,NA
group_12001,123,69.9,0.583,Low,NA
group_19904,123,76,0.494,Confident,NA
group_3834,123,74.6,0.466,Confident,NA
rusA_3~~~rusA_1~~~rusA_6,123,82.4,0.84,Confident,NA
group_4077,123,62.6,0.442,Low,NA
group_10132,123,40.8,0.301,Very low,NA
group_4156,123,77.4,0.768,Confident,NA
group_4170,123,64.9,0.31,Low,NA
insF5_6~~~insF5_2,123,77.2,0.625,Confident,NA
group_3161,124,56.8,0.402,Low,NA
group_10581,124,68.2,0.66,Low,NA
group_4083,124,71.9,0.74,Confident,NA
cbeA~~~cbeA_3~~~cbeA_1~~~cbeA_2~~~cbeA_6,124,46.4,0.448,Very low,NA
group_19789,125,80.9,0.786,Confident,NA
group_3405,125,57.4,0.408,Low,NA
group_3475,125,67.1,0.597,Low,NA
group_19940,125,31,0.185,Very low,NA
group_14563,125,77.2,0.598,Confident,NA
insN1_3~~~insN1_2~~~insN1_1~~~insN2,125,65.6,0.395,Low,NA
group_4444,125,49.9,0.431,Very low,NA
group_3539,126,43.5,0.4,Very low,NA
rusA_2~~~rusA~~~rusA_1~~~rusA_4~~~rusA_3~~~rusA_6~~~rusA_5,126,78.9,0.805,Confident,NA
group_3956,126,85.4,0.876,Confident,NA
group_3978,126,57.6,0.523,Low,NA
group_9856,126,59.5,0.215,Low,NA
group_19817,127,78.8,0.828,Confident,NA
group_18931,127,37.8,0.23,Very low,NA
group_12756,127,80.7,0.834,Confident,NA
ypjF,127,46,0.386,Very low,NA
group_4199,127,76.1,0.758,Confident,NA
group_20072,127,79.1,0.834,Confident,NA
group_4545,127,56,0.602,Low,NA
group_3778,128,78.3,0.632,Confident,NA
traM~~~traM_2,128,66.7,0.423,Low,NA
group_19992,128,65.2,0.578,Low,NA
group_16371,128,73.2,0.684,Confident,NA
group_4136,128,57.7,0.462,Low,NA
group_4300,128,60.5,0.391,Low,NA
cbtA_3~~~cbtA_2~~~cbtA_1~~~cbtA~~~cbtA_4,128,39.8,0.219,Very low,NA
group_3564,129,76.2,0.729,Confident,NA
group_3977,129,82.6,0.537,Confident,NA
group_9279,129,42.8,0.282,Very low,NA
group_20002,129,56.1,0.323,Low,NA
group_20051,129,74.5,0.726,Confident,NA
group_4531,129,76.4,0.715,Confident,NA
umuD_1~~~umuD_2~~~umuD_3~~~umuD_4,129,67.7,0.678,Low,NA
group_3505,130,61.1,0.512,Low,NA
quuD_2~~~quuD_1~~~quuD_3~~~quuD,130,72.6,0.75,Confident,NA
group_3963,130,57.2,0.363,Low,NA
group_20001,130,60.3,0.512,Low,NA
group_4049,130,61.2,0.524,Low,NA
group_8872,130,46,0.446,Very low,NA
group_20046,130,54.5,0.503,Low,NA
group_12466,131,85,0.872,Confident,NA
group_3428,131,66.4,0.36,Low,NA
group_12793,131,53.5,0.192,Low,NA
group_19451,131,72.3,0.707,Confident,NA
group_4005,131,60.4,0.416,Low,NA
ogrK~~~ogrK_1~~~ogrK_2,131,53.9,0.343,Low,NA
insB6~~~insB6_1~~~insB6_6~~~insB6_5~~~insB6_3,131,72.2,0.769,Confident,NA
group_4551,131,61.4,0.605,Low,NA
group_4558,131,68.6,0.483,Low,NA
group_9152,132,75.9,0.797,Confident,NA
group_19928,132,63.7,0.613,Low,NA
traA~~~traA_2~~~traA_1,132,46.8,0.248,Very low,NA
group_19791,133,49.6,0.33,Very low,NA
group_11605,133,71.8,0.457,Confident,NA
group_3588,133,35.3,0.282,Very low,NA
group_3615,133,76.4,0.528,Confident,NA
group_19899,133,65.4,0.345,Low,NA
group_4021,133,86.6,0.886,Confident,NA
group_4064,133,50.9,0.373,Low,NA
group_4109,133,84.8,0.869,Confident,NA
stpA_2~~~stpA_1,134,77.1,0.392,Confident,NA
group_15838,134,67.1,0.655,Low,NA
fdtA,134,86.7,0.872,Confident,NA
group_3922,134,60,0.511,Low,NA
group_4063,134,69.8,0.727,Low,NA
group_4225,135,34,0.24,Very low,NA
group_4441,135,83.4,0.86,Confident,NA
quuD_4~~~quuD_2~~~quuD_1~~~quuD_3~~~quuD,136,66.1,0.665,Low,NA
group_4113,136,56.8,0.539,Low,NA
group_4152,136,55.1,0.501,Low,NA
group_4274,136,80.8,0.85,Confident,NA
group_16650,136,71.7,0.762,Confident,NA
group_19778,137,56.9,0.543,Low,NA
group_3630,137,85,0.628,Confident,NA
group_19452,137,64,0.557,Low,NA
group_4155,137,64,0.592,Low,NA
group_4229,137,33.8,0.278,Very low,NA
rraB_2~~~rraB,138,76.4,0.762,Confident,NA
group_3850,138,65.5,0.367,Low,NA
group_19453,138,57.9,0.525,Low,NA
group_19768,139,52.7,0.288,Low,NA
group_3193,139,69.4,0.669,Low,NA
group_19876,139,36.4,0.244,Very low,NA
group_8523,139,62.8,0.612,Low,NA
group_3920,139,80.5,0.791,Confident,NA
group_9290,139,36.5,0.254,Very low,NA
group_20031,139,68.1,0.649,Low,NA
vapC_1~~~vapC_2,140,83.5,0.86,Confident,NA
group_3425,140,86.5,0.889,Confident,NA
group_3537,140,73.3,0.723,Confident,NA
group_8417,140,64.7,0.6,Low,NA
group_19934,140,87.1,0.853,Confident,NA
group_4053,140,75.1,0.593,Confident,NA
group_4355,140,75.3,0.739,Confident,NA
yfjX_1~~~yfjX_2,141,84.7,0.89,Confident,NA
group_3250,141,83,0.44,Confident,NA
ydaT_2~~~ydaT_1~~~ydaT,141,69,0.547,Low,NA
group_3357,141,67.2,0.503,Low,NA
ydaT~~~ydaT_1~~~ydaT_2~~~ydaT_3,141,71.9,0.579,Confident,NA
group_18307,141,56.9,0.484,Low,NA
group_3908,141,49,0.302,Very low,NA
ypjF_2~~~ykfI_1~~~ykfI_2~~~ypjF~~~ykfI,141,35.2,0.215,Very low,NA
group_17373,141,52.9,0.4,Low,NA
group_20010,141,79.5,0.848,Confident,NA
group_4223,141,64.3,0.476,Low,NA
group_8861,141,70.6,0.711,Confident,NA
group_4504,141,52.2,0.321,Low,NA
cbeA_2~~~cbeA_1~~~cbeA_3~~~cbeA_4~~~cbeA,142,34.5,0.252,Very low,NA
group_19842,142,83.2,0.627,Confident,NA
group_4141,142,47,0.289,Very low,NA
group_4205,142,69.3,0.652,Low,NA
group_20070,142,55.8,0.515,Low,NA
group_19799,143,77.5,0.494,Confident,NA
group_19824,143,25.8,0.14,Very low,NA
group_17907,143,71.8,0.468,Confident,NA
group_3683,143,76.4,0.79,Confident,NA
hicB_1~~~hicB,143,87.2,0.873,Confident,NA
silE_1~~~silE_3,143,45.4,0.33,Very low,NA
