Gene,group,annotated,COG_category,COG_description,Preferred_name,GOs,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction
group_11020,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11055,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11047,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,"ko:K07011,ko:K20444",-,-,-
group_11013,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,treT,-,ko:K13057,"ko00500,ko01100,map00500,map01100",-,"R08946,R10525,R11306"
group_11018,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
group_11041,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11029,cloud,Yes,E,Amino Acid metabolis and transport,-,-,ko:K00640,"ko00270,ko00920,ko01100,ko01110,ko01120,ko01200,ko01230,ko05111,map00270,map00920,map01100,map01110,map01120,map01200,map01230,map05111",M00021,R00586
group_4207,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_7268,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_5059,cloud,Yes,K,Transcription,cspC,-,ko:K03704,-,-,-
group_6326,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_2803,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_4318,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_7030,cloud,Yes,Q,Secondary Structure,-,-,-,-,-,-
group_1778,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11059,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_11058,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11060,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11064,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11065,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11066,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11067,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11069,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11070,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11071,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11072,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11073,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_810,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11075,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11076,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11078,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11081,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
socA,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11086,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11102,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3106,cloud,Yes,L,Replication and repair,insA2,"GO:0006139,GO:0006259,GO:0006310,GO:0006313,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0032196,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:1901360",-,-,-,-
group_2000,cloud,Yes,L,Replication and repair,-,-,ko:K07497,-,-,-
group_7417,cloud,Yes,L,Replication and repair,-,"GO:0003674,GO:0003824,GO:0004803,GO:0006139,GO:0006259,GO:0006310,GO:0006313,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0032196,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:0140097,GO:1901360",-,-,-,-
group_6143,cloud,Yes,L,Replication and repair,-,-,ko:K07497,-,-,-
group_5689,cloud,Yes,L,Replication and repair,-,-,ko:K07483,-,-,-
group_5600,cloud,Yes,L,Replication and repair,-,-,ko:K07484,-,-,-
group_11104,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11105,cloud,Yes,V,Defense mechanism,-,-,ko:K01154,-,-,-
group_11106,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11110,cloud,Yes,G,Carbohydrate metabolism and transport,-,-,-,-,-,-
group_11111,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11112,cloud,Yes,D,Cell cycle control and mitosis,-,-,-,-,-,-
group_7170,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_3786,cloud,Yes,U,Intracellular trafficing and secretion,-,-,-,-,-,-
group_6198,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
cdiA_3,cloud,Yes,U,Intracellular trafficing and secretion,-,-,ko:K15125,"ko05133,map05133",-,-
group_7418,cloud,Yes,U,Intracellular trafficing and secretion,-,-,-,-,-,-
group_6848,cloud,Yes,P,Inorganic ion transport and metabolism,-,-,ko:K02016,"ko02010,map02010",M00240,-
group_6717,cloud,Yes,P,Inorganic ion transport and metabolism,yiuB,-,ko:K02015,"ko02010,map02010",M00240,-
group_6113,cloud,Yes,K,Transcription,-,-,ko:K07483,-,-,-
yheO_2,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11114,cloud,Yes,G,Carbohydrate metabolism and transport,-,-,-,-,-,-
yihN_2,cloud,Yes,G,Carbohydrate metabolism and transport,yihN,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,-,-,-
group_11118,cloud,Yes,K,Transcription,VY92_07345,-,-,-,-,-
group_11115,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11119,cloud,Yes,L,Replication and repair,-,-,ko:K07483,-,-,-
group_11121,cloud,Yes,P,Inorganic ion transport and metabolism,zurA,-,ko:K09817,"ko02010,map02010",M00242,-
group_11122,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11123,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
yqjK_3,cloud,Yes,S,Function Unknown,yqjK,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464",-,-,-,-
group_11124,cloud,Yes,U,Intracellular trafficing and secretion,-,-,ko:K15125,"ko05133,map05133",-,-
group_11127,cloud,Yes,"K,T","Transcription,Signal Transduction",-,-,-,-,-,-
group_11129,cloud,Yes,S,Function Unknown,imm,-,-,-,-,-
group_11128,cloud,Yes,U,Intracellular trafficing and secretion,-,-,-,-,-,-
group_11130,cloud,Yes,L,Replication and repair,-,-,ko:K00986,-,-,-
group_11131,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11132,cloud,Yes,S,Function Unknown,rfbF,-,ko:K12990,"ko02024,ko02025,map02024,map02025",-,-
group_11133,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11137,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
group_11135,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,"ko:K01002,ko:K20534","ko01100,map01100",-,-
group_11148,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_11151,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_11152,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11146,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11149,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_11138,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11150,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11163,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11169,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11158,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11168,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11172,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11179,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_11175,cloud,Yes,"E,G,P","Amino Acid metabolis and transport,Carbohydrate metabolism and transport,Inorganic ion transport and metabolism",-,-,-,-,-,-
group_11177,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11180,cloud,Yes,E,Amino Acid metabolis and transport,-,-,-,-,-,-
group_11181,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
paaJ_2,cloud,Yes,I,Lipid metabolism,-,-,ko:K00632,"ko00071,ko00280,ko00281,ko00362,ko00592,ko00642,ko01100,ko01110,ko01120,ko01130,ko01212,map00071,map00280,map00281,map00362,map00592,map00642,map01100,map01110,map01120,map01130,map01212","M00087,M00113","R00829,R00927,R01177,R03778,R03858,R03991,R04546,R04742,R04747,R05506,R05586,R07891,R07895,R07899,R08091,R08095"
group_11178,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11176,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
group_6757,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
virB9_1,cloud,Yes,U,Intracellular trafficing and secretion,virB9,-,ko:K03204,"ko03070,map03070",M00333,-
group_2692,cloud,Yes,U,Intracellular trafficing and secretion,-,-,-,-,-,-
group_3306,cloud,Yes,K,Transcription,mobC,-,-,-,-,-
ccdB_1,cloud,Yes,S,Function Unknown,ccdB,-,ko:K19163,-,-,-
group_3289,cloud,Yes,S,Function Unknown,ccdA,-,ko:K19164,-,-,-
group_8089,cloud,Yes,L,Replication and repair,traC,-,-,-,-,-
group_5319,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_1997,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_2138,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_6144,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_7293,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_1703,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_1987,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_7272,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_7341,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_5945,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_1595,cloud,Yes,L,Replication and repair,Z012_01240,-,ko:K06919,-,-,-
group_5794,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_7902,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_6221,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_2739,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_6145,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
group_5871,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_6135,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_8004,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11182,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11183,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11184,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11193,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
aes,cloud,Yes,I,Lipid metabolism,aes,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006355,GO:0008126,GO:0008150,GO:0008152,GO:0009056,GO:0009889,GO:0010468,GO:0010556,GO:0016787,GO:0016788,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0034338,GO:0043086,GO:0043433,GO:0044092,GO:0044424,GO:0044464,GO:0048519,GO:0050789,GO:0050790,GO:0050794,GO:0051090,GO:0051171,GO:0051252,GO:0051336,GO:0051346,GO:0052689,GO:0060255,GO:0065007,GO:0065009,GO:0080090,GO:1903506,GO:2000112,GO:2001141",ko:K01066,-,-,-
kefC_1,cloud,Yes,P,Inorganic ion transport and metabolism,-,-,"ko:K03455,ko:K11747",-,-,-
group_11218,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11221,cloud,Yes,T,Signal Transduction,-,-,-,-,-,-
group_11222,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11232,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_11233,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_2928,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11235,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
group_11236,cloud,Yes,L,Replication and repair,-,-,ko:K07494,-,-,-
group_11240,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,ycgR,-,ko:K21087,"ko02026,map02026",-,-
group_11239,cloud,Yes,T,Signal Transduction,-,-,-,-,-,-
group_11241,cloud,Yes,I,Lipid metabolism,-,-,-,-,-,-
group_11245,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11244,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11243,cloud,Yes,H,Coenzyme metabolis,-,-,-,-,-,-
group_11242,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11247,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11248,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11249,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_11250,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11251,cloud,Yes,C,Energy production and conversion,-,-,-,-,-,-
lolD_2,cloud,Yes,P,Inorganic ion transport and metabolism,-,-,ko:K02003,-,M00258,-
group_11252,cloud,Yes,V,Defense mechanism,-,-,ko:K02004,-,M00258,-
mdtA_2,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,ko:K02005,-,-,-
slmA_2,cloud,Yes,K,Transcription,-,-,-,-,-,-
group_11253,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11255,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11256,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11254,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11257,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11260,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_11261,cloud,Yes,P,Inorganic ion transport and metabolism,corA,"GO:0000041,GO:0003674,GO:0005215,GO:0006810,GO:0006811,GO:0006812,GO:0006824,GO:0008150,GO:0008324,GO:0015075,GO:0015087,GO:0015095,GO:0015099,GO:0015318,GO:0015675,GO:0015693,GO:0022857,GO:0022890,GO:0030001,GO:0034220,GO:0035444,GO:0046873,GO:0046915,GO:0051179,GO:0051234,GO:0055085,GO:0070838,GO:0072511,GO:0098655,GO:0098660,GO:0098662,GO:1903830",ko:K03284,-,-,-
group_11262,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11263,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
ydaE_1,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_7172,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_173,cloud,Yes,S,Function Unknown,ydaU,-,-,-,-,-
group_6665,cloud,Yes,"G,K","Carbohydrate metabolism and transport,Transcription",-,-,-,-,-,-
group_5795,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_8005,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_9086,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11264,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11266,cloud,Yes,I,Lipid metabolism,-,-,-,-,-,-
group_11265,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_5922,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_2057,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
group_6774,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,-,-,-,-,-,-
group_11267,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_1186,cloud,Yes,Not annotated,NA,-,-,ko:K01419,-,-,-
group_5758,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_7294,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
pinE_2,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_4864,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11275,cloud,Yes,L,Replication and repair,-,-,ko:K00590,-,-,-
group_11271,cloud,Yes,V,Defense mechanism,-,-,-,-,-,-
group_11276,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_11277,cloud,Yes,L,Replication and repair,-,-,ko:K07497,-,-,-
group_11278,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11285,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_929,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_2827,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_985,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_5326,cloud,Yes,D,Cell cycle control and mitosis,-,-,-,-,-,-
group_530,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11287,cloud,Yes,"N,U","Cell motility,Intracellular trafficing and secretion",-,-,ko:K07345,"ko05133,map05133",-,-
group_11288,cloud,Yes,O,"Post-translational modification, protein turnover, chaperone functions",M1-674,-,"ko:K01173,ko:K04771","ko01503,ko02020,ko04210,map01503,map02020,map04210",M00728,-
group_11289,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
ycjQ_1,cloud,Yes,E,Amino Acid metabolis and transport,ycjQ,-,-,-,-,-
group_11291,cloud,Yes,P,Inorganic ion transport and metabolism,fepA,"GO:0000041,GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006826,GO:0006855,GO:0006873,GO:0006875,GO:0006879,GO:0008104,GO:0008150,GO:0008320,GO:0008565,GO:0009279,GO:0009987,GO:0015031,GO:0015238,GO:0015267,GO:0015343,GO:0015399,GO:0015405,GO:0015450,GO:0015620,GO:0015682,GO:0015685,GO:0015688,GO:0015711,GO:0015833,GO:0015850,GO:0015891,GO:0015893,GO:0016020,GO:0016021,GO:0019725,GO:0019867,GO:0019904,GO:0022803,GO:0022804,GO:0022834,GO:0022836,GO:0022857,GO:0022884,GO:0022885,GO:0030001,GO:0030003,GO:0030312,GO:0030313,GO:0031224,GO:0031230,GO:0031975,GO:0033036,GO:0033212,GO:0033214,GO:0042221,GO:0042493,GO:0042592,GO:0042886,GO:0042887,GO:0042891,GO:0042895,GO:0042912,GO:0042914,GO:0042930,GO:0043213,GO:0044425,GO:0044462,GO:0044464,GO:0044718,GO:0045184,GO:0045203,GO:0046916,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051181,GO:0051184,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071702,GO:0071705,GO:0071806,GO:0071944,GO:0072512,GO:0098771,GO:1901678,GO:1904680","ko:K16089,ko:K19611","ko02020,map02020",-,-
group_11292,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_4094,cloud,Yes,I,Lipid metabolism,-,-,-,-,-,-
group_2702,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11294,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11295,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11297,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11298,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,galE,-,ko:K01784,"ko00052,ko00520,ko01100,map00052,map00520,map01100","M00361,M00362,M00632","R00291,R02984"
group_1145,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_1175,cloud,Yes,D,Cell cycle control and mitosis,-,-,-,-,-,-
yidE_1,cloud,Yes,O,"Post-translational modification, protein turnover, chaperone functions",ibpB,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0010035,GO:0010038,GO:0042221,GO:0042802,GO:0044424,GO:0044464,GO:0046688,GO:0050896,GO:0097501,GO:1990169",ko:K04081,-,-,-
dppF,shell,Yes,P,Inorganic ion transport and metabolism,dppF,"GO:0000166,GO:0003674,GO:0005215,GO:0005488,GO:0005524,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008144,GO:0008150,GO:0009314,GO:0009628,GO:0015232,GO:0015886,GO:0016020,GO:0017076,GO:0022857,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044464,GO:0050896,GO:0051179,GO:0051181,GO:0051184,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901678","ko:K10823,ko:K12372,ko:K19230","ko01501,ko01503,ko02010,ko02024,map01501,map01503,map02010,map02024","M00324,M00439,M00739",-
group_1824,cloud,Yes,K,Transcription,-,-,ko:K21498,-,-,-
group_994,cloud,Yes,O,"Post-translational modification, protein turnover, chaperone functions",-,-,-,-,-,-
group_7506,cloud,Yes,O,"Post-translational modification, protein turnover, chaperone functions",-,-,-,-,-,-
group_11301,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_275,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11309,cloud,Yes,T,Signal Transduction,-,-,-,-,-,-
pinQ_2,cloud,Yes,L,Replication and repair,pinR,"GO:0000150,GO:0003674,GO:0003824,GO:0006139,GO:0006259,GO:0006310,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:0140097,GO:1901360",ko:K14060,-,-,-
group_11312,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11315,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11324,cloud,Yes,S,Function Unknown,qnr,-,ko:K18555,-,M00729,-
insC6_1,cloud,Yes,L,Replication and repair,-,-,ko:K07483,-,-,-
insD6_1,cloud,Yes,L,Replication and repair,-,"GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0018130,GO:0019438,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0071704,GO:0090304,GO:0097659,GO:1901360,GO:1901362,GO:1901576",ko:K07497,-,-,-
tagG,cloud,Yes,"G,M","Carbohydrate metabolism and transport,Cell wall/membrane/envelop biogenesis",wzm,-,"ko:K09688,ko:K09690,ko:K09692","ko02010,map02010","M00249,M00250,M00251",-
afuC,cloud,Yes,"G,M","Carbohydrate metabolism and transport,Cell wall/membrane/envelop biogenesis",rfbB,-,ko:K09691,"ko02010,map02010",M00250,-
group_11328,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,JD73_04250,-,ko:K12985,-,-,-
group_11327,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,glf,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008767,GO:0016853,GO:0016866,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044444,GO:0044464,GO:0048037,GO:0050660,GO:0050662,GO:0097159,GO:1901265,GO:1901363",ko:K01854,"ko00052,ko00520,map00052,map00520",-,"R00505,R09009"
group_11329,cloud,Yes,S,Function Unknown,wbbN,-,ko:K07011,-,-,-
group_11330,cloud,Yes,M,Cell wall/membrane/envelop biogenesis,wbbO,-,ko:K21011,"ko02025,map02025",-,-
ettA_2,cloud,Yes,S,Function Unknown,yjjK,"GO:0003674,GO:0003824,GO:0005488,GO:0006417,GO:0006448,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010608,GO:0010629,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0017148,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032268,GO:0032269,GO:0034248,GO:0034249,GO:0043021,GO:0043022,GO:0044877,GO:0045900,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0060255,GO:0065007,GO:0080090,GO:2000112,GO:2000113",ko:K06020,-,-,-
dmsD_2,cloud,Yes,S,Function Unknown,dmsD,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009898,GO:0016020,GO:0019897,GO:0019898,GO:0031234,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0071944,GO:0098552,GO:0098562",-,-,-,-
group_11332,cloud,Yes,C,Energy production and conversion,dmsA2,-,"ko:K07306,ko:K07811,ko:K07812","ko00920,ko02020,map00920,map02020",-,R09501
ynfH_2,cloud,Yes,S,Function Unknown,-,-,ko:K07308,"ko00920,map00920",-,R09501
group_11331,cloud,Yes,C,Energy production and conversion,dmsB,-,ko:K07307,"ko00920,map00920",-,R09501
bcr_2,cloud,Yes,"E,G,P","Amino Acid metabolis and transport,Carbohydrate metabolism and transport,Inorganic ion transport and metabolism",-,-,"ko:K07552,ko:K18552",-,-,-
folA_2,cloud,Yes,H,Coenzyme metabolis,-,-,"ko:K00287,ko:K18590","ko00670,ko00790,ko01100,ko01523,map00670,map00790,map01100,map01523","M00126,M00840","R00936,R00937,R00939,R00940,R02235,R02236,R11765"
group_3402,cloud,Yes,P,Inorganic ion transport and metabolism,-,-,ko:K05793,-,-,-
group_11333,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11334,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11335,cloud,Yes,S,Function Unknown,-,-,-,-,-,-
group_11336,cloud,Yes,H,Coenzyme metabolis,dcm,-,ko:K00558,"ko00270,ko01100,ko05206,map00270,map01100,map05206",M00035,R04858
group_6793,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
group_5607,cloud,Yes,Not annotated,NA,-,-,-,-,-,-
group_11337,cloud,Yes,S,Function Unknown,yfjL,"GO:0002252,GO:0002376,GO:0006950,GO:0006952,GO:0008150,GO:0009605,GO:0009607,GO:0009615,GO:0043207,GO:0050896,GO:0051607,GO:0051704,GO:0051707,GO:0098542",-,-,-,-
group_11338,cloud,Yes,L,Replication and repair,-,-,-,-,-,-
afaD,cloud,Yes,S,Function Unknown,safD,-,-,-,-,-
murR_2,cloud,Yes,K,Transcription,Z012_10240,-,-,-,-,-
feaB_1,cloud,Yes,C,Energy production and conversion,mmsA,-,ko:K00140,"ko00280,ko00410,ko00562,ko00640,ko01100,ko01200,map00280,map00410,map00562,map00640,map01100,map01200",M00013,"R00705,R00706,R00922,R00935"
ilvB_3,cloud,Yes,E,Amino Acid metabolis and transport,iolD,-,ko:K03336,"ko00562,ko01100,ko01120,map00562,map01100,map01120",-,R08603
iolG_1,cloud,Yes,E,Amino Acid metabolis and transport,iolG,-,ko:K00010,"ko00521,ko00562,ko01100,ko01120,ko01130,map00521,map00562,map01100,map01120,map01130",-,"R01183,R09951"
group_8240,cloud,Yes,G,Carbohydrate metabolism and transport,rbsB_2,-,ko:K17208,"ko02010,map02010",M00592,-
rbsA_2,cloud,Yes,P,Inorganic ion transport and metabolism,rbsA_3,-,"ko:K02056,ko:K10441,ko:K10542,ko:K10545,ko:K17210","ko02010,map02010","M00212,M00214,M00215,M00221,M00592",-
group_7087,cloud,Yes,P,Inorganic ion transport and metabolism,-,-,ko:K17209,"ko02010,map02010",M00592,-
iolG_2,cloud,Yes,S,Function Unknown,gfo,-,ko:K18652,-,-,-
iolC,cloud,Yes,G,Carbohydrate metabolism and transport,iolC,-,ko:K03338,"ko00562,ko01100,ko01120,map00562,map01100,map01120",-,R05661
